Gender_Person1,Gender_Person2,Personality_Person1,Personality_Person2,Communication_Level,Emotional_Intelligence,Trust_Level,Common_Interests_Score,Physical_Attraction_Score,Mutual_Respect_Score,Conflict_Resolution_Skills,Love_Probability
Other,Female,Introvert,Ambivert,Low,Medium,High,0,2,8,Good,0.46
Female,Female,Extrovert,Extrovert,High,High,High,2,8,3,Excellent,0.34
Other,Other,Ambivert,Ambivert,Low,Low,Low,1,6,7,Excellent,0.45
Male,Male,Introvert,Extrovert,Medium,Medium,Low,5,2,7,Poor,0.42
Other,Female,Introvert,Ambivert,Medium,High,Low,1,3,2,Poor,0.34
Male,Other,Introvert,Extrovert,High,High,High,1,6,1,Excellent,0.29
Male,Female,Extrovert,Introvert,High,High,High,10,8,9,Excellent,1.0
Female,Male,Extrovert,Introvert,High,Medium,Low,0,1,1,Poor,-0.08
Male,Other,Introvert,Introvert,Low,Medium,High,1,2,4,Poor,0.26
Female,Female,Introvert,Ambivert,Low,Low,High,8,9,1,Excellent,0.69
Other,Male,Ambivert,Introvert,Low,High,Medium,2,8,0,Poor,0.34
Male,Male,Ambivert,Ambivert,Medium,Medium,Low,9,2,7,Poor,0.71
Male,Male,Extrovert,Extrovert,Medium,High,Low,3,6,1,Good,0.28
Male,Female,Introvert,Ambivert,High,Medium,Medium,4,8,0,Excellent,0.54
Female,Female,Introvert,Extrovert,Medium,Medium,Low,4,10,7,Excellent,0.93
Other,Female,Extrovert,Extrovert,High,High,Medium,10,5,2,Excellent,0.53
Other,Female,Ambivert,Introvert,Medium,Medium,Low,10,10,1,Excellent,0.66
Male,Female,Extrovert,Ambivert,Low,High,Low,2,1,5,Excellent,0.41
Female,Male,Ambivert,Extrovert,High,High,Medium,7,4,9,Poor,0.82
Female,Other,Extrovert,Extrovert,Medium,Low,Low,6,7,8,Good,0.65
Male,Female,Introvert,Introvert,Medium,Medium,Medium,3,10,2,Excellent,0.46
Male,Other,Introvert,Introvert,Medium,Low,High,2,6,9,Poor,0.54
Female,Male,Extrovert,Ambivert,Low,High,High,10,8,7,Good,0.7
Male,Female,Ambivert,Extrovert,Medium,Low,Medium,8,5,8,Poor,0.61
Male,Male,Extrovert,Introvert,Medium,Medium,Medium,6,7,7,Excellent,0.57
Male,Male,Ambivert,Ambivert,Medium,Low,High,7,6,2,Good,0.42
Other,Female,Extrovert,Introvert,Low,Low,Medium,10,8,10,Poor,0.93
Other,Female,Extrovert,Ambivert,High,Low,High,6,4,7,Poor,0.59
Female,Other,Ambivert,Extrovert,Medium,Medium,High,0,9,0,Excellent,0.46
Female,Female,Ambivert,Ambivert,High,Low,Medium,6,1,6,Good,0.33
Female,Female,Extrovert,Introvert,Low,High,High,3,10,4,Poor,0.67
Male,Other,Introvert,Extrovert,High,Medium,High,0,8,5,Excellent,0.41
Female,Other,Extrovert,Ambivert,Low,Medium,Medium,0,7,9,Excellent,0.53
Female,Female,Ambivert,Extrovert,Medium,Low,High,7,1,10,Excellent,0.67
Female,Female,Ambivert,Ambivert,Medium,High,Low,4,5,6,Excellent,0.39
Female,Other,Introvert,Ambivert,High,Medium,Medium,0,4,9,Good,0.47
Male,Other,Ambivert,Introvert,Low,Low,High,9,5,4,Excellent,0.62
Other,Other,Extrovert,Extrovert,High,Medium,High,10,4,8,Good,0.78
Female,Other,Ambivert,Extrovert,High,Medium,Medium,4,9,8,Good,0.73
Other,Other,Introvert,Introvert,Low,Low,Low,2,9,7,Excellent,0.85
Other,Other,Extrovert,Extrovert,Low,Low,Low,6,9,10,Excellent,0.77
Other,Male,Extrovert,Extrovert,High,High,High,10,4,6,Good,0.61
Female,Male,Ambivert,Introvert,Medium,Medium,Medium,10,2,4,Poor,0.47
Other,Male,Extrovert,Introvert,High,High,High,0,3,4,Good,0.18
Female,Other,Extrovert,Extrovert,Low,High,High,2,4,2,Excellent,0.2
Female,Female,Ambivert,Ambivert,High,Low,High,7,0,0,Excellent,0.35
Female,Other,Extrovert,Introvert,Medium,Medium,Low,10,1,6,Poor,0.71
Male,Male,Introvert,Ambivert,Low,Low,High,8,10,9,Poor,0.84
Female,Female,Introvert,Introvert,Low,High,Medium,5,9,6,Poor,0.58
Other,Male,Extrovert,Introvert,High,High,High,3,4,7,Good,0.51
Female,Other,Introvert,Extrovert,Low,Medium,Low,1,5,8,Good,0.41
Female,Other,Introvert,Extrovert,High,Medium,Medium,5,4,0,Poor,0.36
Other,Male,Ambivert,Ambivert,High,Low,Low,3,4,8,Good,0.52
Female,Other,Ambivert,Extrovert,Low,High,Low,3,7,6,Excellent,0.38
Female,Female,Extrovert,Introvert,High,Medium,High,2,7,10,Good,0.79
Other,Female,Introvert,Extrovert,High,Medium,Medium,6,5,6,Excellent,0.75
Male,Other,Extrovert,Ambivert,High,Medium,Medium,9,8,5,Good,0.67
Other,Male,Introvert,Ambivert,Low,High,Low,7,10,2,Excellent,0.59
Female,Male,Ambivert,Extrovert,Medium,Low,High,1,2,3,Poor,0.23
Other,Other,Introvert,Ambivert,Low,Medium,Medium,7,7,2,Good,0.57
Male,Other,Ambivert,Extrovert,Medium,High,High,6,5,2,Good,0.5
Female,Other,Introvert,Introvert,High,Low,Low,9,10,3,Excellent,0.93
Female,Male,Extrovert,Ambivert,High,High,Medium,9,6,9,Good,0.78
Male,Male,Extrovert,Introvert,Low,High,High,8,6,7,Poor,0.62
Female,Male,Introvert,Ambivert,High,High,Medium,4,7,6,Excellent,0.43
Female,Male,Ambivert,Introvert,Medium,Low,Low,3,6,2,Good,0.29
Male,Male,Extrovert,Extrovert,High,Low,Medium,3,5,9,Poor,0.56
Other,Female,Introvert,Introvert,Medium,High,Medium,6,10,3,Poor,0.81
Female,Other,Extrovert,Ambivert,Low,Medium,High,1,8,0,Excellent,0.25
Female,Male,Extrovert,Extrovert,Low,Low,Low,0,0,4,Poor,0.16
Other,Female,Extrovert,Extrovert,Low,Medium,High,8,0,9,Excellent,0.57
Female,Male,Ambivert,Extrovert,Medium,Medium,High,1,5,8,Good,0.59
Male,Female,Introvert,Extrovert,High,High,Medium,4,5,6,Good,0.75
Female,Other,Extrovert,Ambivert,Medium,Medium,High,5,7,2,Poor,0.41
Other,Other,Extrovert,Introvert,High,High,High,3,2,0,Good,0.12
Female,Male,Ambivert,Extrovert,Medium,High,Medium,0,7,5,Poor,0.5
Other,Female,Extrovert,Extrovert,High,Low,High,1,5,1,Excellent,0.3
Female,Male,Introvert,Ambivert,Low,Medium,Low,10,9,3,Poor,0.92
Male,Other,Ambivert,Introvert,Medium,High,High,7,10,1,Good,0.66
Male,Female,Ambivert,Ambivert,High,Medium,Medium,9,1,5,Excellent,0.46
Male,Male,Extrovert,Ambivert,Low,Medium,Medium,10,4,9,Poor,0.83
Male,Female,Introvert,Ambivert,Low,Medium,Medium,9,2,3,Excellent,0.58
Other,Female,Extrovert,Introvert,Low,High,Low,9,6,1,Good,0.62
Female,Male,Introvert,Extrovert,High,High,High,2,6,6,Good,0.52
Other,Other,Introvert,Introvert,Medium,Medium,Medium,4,10,9,Excellent,0.87
Female,Other,Introvert,Extrovert,Low,High,Medium,7,6,7,Good,0.78
Other,Other,Extrovert,Introvert,Medium,Medium,Low,2,6,10,Good,0.74
Male,Male,Ambivert,Extrovert,Medium,Low,High,10,10,2,Good,0.8
Other,Other,Ambivert,Ambivert,High,Medium,Medium,6,1,7,Good,0.45
Male,Male,Ambivert,Extrovert,High,Low,Medium,4,9,0,Poor,0.45
Male,Male,Ambivert,Introvert,Low,Medium,Medium,1,7,10,Poor,0.72
Other,Female,Extrovert,Extrovert,Low,High,Low,0,1,10,Good,0.28
Male,Male,Extrovert,Introvert,High,Medium,Low,4,5,9,Poor,0.64
Female,Other,Extrovert,Ambivert,Medium,Medium,High,3,2,1,Poor,0.16
Other,Female,Ambivert,Introvert,Medium,Low,High,0,6,1,Excellent,0.24
Male,Other,Extrovert,Extrovert,Low,Medium,Low,9,7,4,Poor,0.79
Other,Female,Ambivert,Ambivert,Low,Low,Medium,4,1,2,Excellent,0.25
Male,Male,Introvert,Introvert,Low,High,High,3,7,10,Excellent,0.67
Other,Male,Extrovert,Ambivert,Low,High,High,4,7,2,Good,0.3
Female,Male,Introvert,Introvert,High,Low,Low,7,7,7,Excellent,0.77
Female,Other,Introvert,Introvert,Medium,Low,Medium,0,5,0,Excellent,0.23
Other,Other,Extrovert,Extrovert,Medium,Low,Low,9,8,4,Excellent,0.92
Female,Female,Extrovert,Ambivert,Low,Low,Low,10,7,3,Poor,0.64
Male,Other,Introvert,Extrovert,Low,Medium,Low,1,4,10,Good,0.52
Female,Male,Extrovert,Ambivert,Low,Medium,Medium,6,0,2,Good,0.29
Other,Male,Extrovert,Extrovert,Medium,High,Low,3,9,10,Good,0.89
Other,Other,Ambivert,Extrovert,High,Medium,Low,6,6,10,Poor,0.72
Other,Female,Extrovert,Introvert,Low,High,Medium,1,10,7,Excellent,0.63
Male,Male,Introvert,Ambivert,Medium,High,Medium,7,4,3,Excellent,0.53
Other,Male,Introvert,Extrovert,Medium,Medium,Low,2,2,8,Excellent,0.42
Male,Female,Extrovert,Introvert,Low,High,High,8,3,7,Good,0.56
Female,Female,Introvert,Ambivert,Medium,High,Low,8,9,10,Excellent,0.92
Other,Male,Extrovert,Extrovert,High,High,Low,9,1,8,Excellent,0.71
Other,Male,Introvert,Ambivert,High,High,Medium,2,4,7,Poor,0.33
Female,Other,Introvert,Introvert,Low,Medium,Medium,2,1,3,Good,0.21
Female,Male,Introvert,Extrovert,Medium,Medium,Low,2,1,4,Good,0.16
Other,Female,Extrovert,Ambivert,Low,High,High,8,6,3,Excellent,0.69
Female,Female,Extrovert,Extrovert,Low,Low,Medium,0,7,2,Excellent,0.15
Other,Other,Introvert,Introvert,Medium,Medium,Medium,2,6,0,Good,0.21
Male,Other,Ambivert,Introvert,Low,High,Low,10,8,4,Good,0.77
Female,Other,Ambivert,Ambivert,Medium,Low,Low,5,5,0,Good,0.49
Other,Other,Introvert,Ambivert,Medium,Medium,Low,3,8,9,Poor,0.66
Other,Female,Ambivert,Extrovert,Low,Medium,High,4,1,0,Poor,0.11
Female,Female,Ambivert,Ambivert,Low,High,Low,8,4,3,Excellent,0.69
Other,Other,Extrovert,Ambivert,Medium,Low,High,0,0,8,Poor,0.12
Female,Male,Extrovert,Ambivert,Medium,Low,High,0,5,4,Poor,0.08
Other,Female,Introvert,Introvert,Low,High,Medium,4,9,0,Good,0.48
Female,Male,Ambivert,Ambivert,Low,Low,Low,10,8,9,Excellent,0.85
Female,Female,Extrovert,Ambivert,Low,Low,Low,2,6,8,Poor,0.43
Male,Male,Extrovert,Ambivert,Low,High,Medium,7,1,2,Poor,0.4
Female,Female,Introvert,Introvert,High,Medium,High,7,3,7,Excellent,0.59
Female,Other,Ambivert,Extrovert,Low,Low,Low,6,4,9,Good,0.58
Other,Female,Extrovert,Ambivert,Medium,Low,Medium,2,2,8,Excellent,0.27
Female,Other,Extrovert,Introvert,Low,Low,Low,1,3,7,Good,0.45
Male,Other,Introvert,Ambivert,Medium,High,Low,6,1,1,Good,0.33
Other,Female,Introvert,Ambivert,High,High,Medium,4,5,4,Good,0.42
Female,Male,Introvert,Introvert,Low,Medium,High,4,4,3,Excellent,0.55
Other,Female,Introvert,Introvert,Low,Medium,High,0,6,7,Poor,0.33
Female,Other,Extrovert,Extrovert,Medium,Medium,Low,9,2,2,Poor,0.28
Other,Female,Extrovert,Ambivert,Medium,High,Low,5,1,9,Poor,0.43
Other,Female,Extrovert,Introvert,Medium,Medium,Low,0,10,7,Poor,0.56
Female,Other,Introvert,Introvert,Low,High,Low,10,4,8,Poor,0.76
Male,Other,Ambivert,Introvert,High,Low,Low,9,0,9,Poor,0.58
Male,Female,Ambivert,Introvert,High,Low,Low,2,0,4,Excellent,0.24
Male,Other,Ambivert,Extrovert,High,Low,Low,5,6,9,Excellent,0.54
Female,Male,Extrovert,Extrovert,High,Medium,High,8,5,6,Good,0.78
Male,Male,Introvert,Ambivert,High,Medium,High,2,4,1,Excellent,0.23
Female,Female,Ambivert,Introvert,High,Low,Medium,2,0,0,Good,0.18
Female,Male,Extrovert,Introvert,Medium,Medium,Medium,6,1,0,Excellent,0.27
Male,Other,Ambivert,Introvert,Medium,Low,Low,6,1,4,Excellent,0.41
Female,Female,Ambivert,Extrovert,High,Medium,High,6,10,3,Excellent,0.69
Female,Other,Ambivert,Ambivert,High,High,Low,10,2,4,Poor,0.58
Female,Female,Introvert,Ambivert,Low,High,High,5,8,2,Excellent,0.56
Other,Female,Ambivert,Extrovert,High,High,Medium,9,4,10,Excellent,0.9
Male,Male,Extrovert,Extrovert,Low,Medium,Low,6,5,10,Excellent,0.72
Other,Other,Extrovert,Introvert,High,Low,Low,9,1,4,Excellent,0.54
Female,Other,Introvert,Introvert,Low,Low,Medium,6,3,9,Poor,0.59
Female,Other,Extrovert,Ambivert,Medium,Low,Medium,4,3,10,Good,0.71
Female,Male,Extrovert,Ambivert,Medium,High,Low,2,10,0,Poor,0.33
Female,Male,Introvert,Ambivert,High,Medium,Low,7,6,8,Excellent,0.88
Other,Other,Introvert,Ambivert,High,Low,Medium,10,1,5,Good,0.53
Other,Female,Extrovert,Introvert,Low,High,High,7,5,3,Good,0.36
Male,Male,Ambivert,Introvert,Medium,Low,Low,5,3,1,Poor,0.31
Other,Female,Ambivert,Introvert,High,Medium,Medium,0,4,7,Poor,0.3
Other,Other,Introvert,Introvert,High,Low,Medium,1,4,9,Poor,0.55
Female,Male,Ambivert,Introvert,Low,Low,Low,10,10,9,Poor,0.9
Male,Male,Ambivert,Introvert,Low,High,High,4,9,3,Poor,0.49
Other,Female,Introvert,Ambivert,High,Low,Low,8,9,4,Poor,0.51
Other,Female,Introvert,Extrovert,Low,Low,Low,0,5,6,Good,0.32
Female,Male,Ambivert,Ambivert,Medium,Medium,Medium,8,0,3,Excellent,0.12
Female,Female,Ambivert,Extrovert,Medium,High,Medium,3,5,1,Poor,0.14
Male,Other,Introvert,Ambivert,Medium,High,High,3,2,5,Good,0.41
Male,Other,Ambivert,Introvert,High,Medium,Medium,0,9,10,Good,0.71
Female,Male,Introvert,Extrovert,High,Medium,High,5,8,3,Excellent,0.58
Other,Other,Extrovert,Introvert,Low,Medium,Low,1,1,0,Excellent,-0.03
Female,Female,Ambivert,Introvert,High,High,Medium,0,4,9,Poor,0.43
Female,Male,Introvert,Ambivert,High,Low,High,4,6,6,Excellent,0.53
Other,Female,Introvert,Ambivert,Low,Low,High,7,6,7,Good,0.55
Other,Other,Introvert,Extrovert,Low,Low,High,7,8,5,Poor,0.82
Male,Male,Introvert,Introvert,Low,Low,High,9,3,9,Excellent,0.79
Other,Other,Extrovert,Extrovert,Medium,Medium,Low,9,7,2,Excellent,0.58
Male,Male,Introvert,Introvert,Medium,Low,Medium,8,10,5,Good,0.77
Other,Other,Introvert,Introvert,Medium,Medium,Low,5,4,5,Excellent,0.49
Other,Other,Ambivert,Ambivert,High,High,High,8,8,0,Good,0.33
Female,Male,Introvert,Ambivert,High,High,Medium,3,10,7,Poor,0.64
Other,Female,Ambivert,Ambivert,Medium,Low,Low,5,9,4,Good,0.53
Female,Male,Introvert,Extrovert,High,Medium,High,0,10,3,Poor,0.33
Male,Female,Ambivert,Introvert,High,Medium,Low,5,6,3,Good,0.44
Male,Male,Extrovert,Introvert,High,Medium,High,8,1,2,Good,0.55
Female,Male,Ambivert,Ambivert,Medium,High,High,3,3,4,Excellent,0.4
Male,Female,Ambivert,Introvert,Medium,Low,High,2,3,0,Excellent,0.11
Female,Male,Introvert,Ambivert,High,Medium,Low,1,5,3,Good,0.36
Female,Male,Extrovert,Extrovert,Low,High,Low,9,6,1,Excellent,0.67
Male,Male,Introvert,Introvert,Low,Medium,Low,5,5,9,Good,0.73
Other,Male,Introvert,Ambivert,Low,High,Low,4,2,5,Excellent,0.37
Male,Other,Extrovert,Introvert,Low,Low,Medium,3,1,7,Poor,0.3
Other,Male,Introvert,Ambivert,Medium,Low,Low,5,7,8,Good,0.74
Male,Female,Ambivert,Extrovert,Low,Low,Medium,7,7,4,Poor,0.64
Female,Other,Ambivert,Ambivert,High,High,High,3,7,3,Good,0.52
Male,Female,Extrovert,Extrovert,Low,High,Medium,4,8,1,Excellent,0.5
Male,Female,Extrovert,Ambivert,Medium,High,Low,0,7,8,Poor,0.6
Female,Female,Extrovert,Extrovert,Medium,Medium,Medium,7,5,4,Good,0.48
Male,Male,Extrovert,Introvert,Medium,Low,High,5,1,4,Poor,0.47
Other,Other,Ambivert,Introvert,Medium,High,High,1,1,5,Excellent,0.25
Other,Male,Extrovert,Introvert,Low,Medium,Medium,4,10,4,Excellent,0.81
Other,Other,Introvert,Ambivert,Low,Low,Medium,0,4,4,Good,0.2
Female,Female,Ambivert,Ambivert,High,Medium,Low,8,2,6,Excellent,0.71
Male,Other,Ambivert,Introvert,Medium,High,Low,9,8,7,Poor,0.82
Female,Female,Introvert,Extrovert,High,Medium,Low,6,3,7,Good,0.47
Other,Male,Extrovert,Introvert,Low,High,Medium,0,7,10,Good,0.52
Female,Male,Extrovert,Extrovert,Low,Medium,Low,8,4,5,Poor,0.53
Male,Other,Introvert,Introvert,High,Medium,Low,10,9,9,Poor,0.98
Female,Female,Introvert,Extrovert,High,Low,Medium,3,7,1,Good,0.42
Other,Female,Ambivert,Extrovert,High,High,High,10,8,2,Excellent,0.61
Other,Other,Extrovert,Introvert,High,High,High,6,4,3,Excellent,0.43
Female,Other,Ambivert,Introvert,Medium,High,Medium,8,0,2,Good,0.55
Female,Female,Introvert,Introvert,High,Low,Medium,7,1,6,Excellent,0.64
Male,Male,Extrovert,Extrovert,Low,Low,Medium,2,9,9,Good,0.71
Other,Male,Ambivert,Ambivert,Low,Medium,Medium,3,0,2,Good,0.17
Male,Female,Ambivert,Introvert,Low,Medium,Low,7,7,7,Poor,0.71
Male,Other,Introvert,Extrovert,Low,Medium,Medium,4,6,9,Excellent,0.69
Female,Male,Introvert,Ambivert,Low,Medium,Medium,6,10,2,Poor,0.5
Other,Male,Extrovert,Ambivert,High,High,High,4,10,8,Good,0.71
Other,Male,Ambivert,Ambivert,Low,High,Medium,6,8,1,Good,0.33
Male,Male,Ambivert,Extrovert,Medium,Medium,High,4,3,8,Excellent,0.54
Female,Male,Introvert,Ambivert,Low,Low,Low,7,6,5,Poor,0.66
Female,Male,Extrovert,Introvert,High,Medium,High,2,5,10,Poor,0.52
Female,Female,Extrovert,Introvert,High,Low,Low,3,7,2,Good,0.56
Female,Male,Introvert,Introvert,Low,High,High,4,1,8,Poor,0.31
Female,Male,Introvert,Ambivert,High,Low,Medium,2,7,5,Excellent,0.32
Male,Other,Introvert,Ambivert,Low,High,Medium,0,10,8,Poor,0.62
Other,Other,Ambivert,Introvert,Medium,Low,Medium,7,0,9,Excellent,0.64
Male,Female,Introvert,Introvert,Medium,High,High,1,0,6,Excellent,0.4
Male,Female,Introvert,Ambivert,Low,High,High,1,10,2,Poor,0.39
Male,Male,Extrovert,Ambivert,High,Medium,Medium,8,10,3,Poor,0.81
Male,Other,Extrovert,Extrovert,High,High,High,1,5,5,Excellent,0.36
Male,Female,Ambivert,Extrovert,High,Medium,High,7,3,1,Poor,0.35
Female,Other,Ambivert,Extrovert,High,High,High,6,4,9,Good,0.72
Male,Other,Ambivert,Ambivert,High,Medium,High,9,5,10,Poor,0.87
Female,Other,Ambivert,Introvert,Medium,High,Low,5,10,7,Excellent,0.58
Female,Male,Ambivert,Ambivert,Medium,Medium,Low,10,3,8,Poor,0.85
Other,Male,Introvert,Introvert,Low,High,Medium,3,6,3,Poor,0.54
Male,Male,Introvert,Extrovert,Medium,Medium,High,2,6,3,Poor,0.3
Male,Male,Ambivert,Ambivert,Medium,Low,Medium,2,4,5,Poor,0.41
Male,Other,Extrovert,Ambivert,Medium,High,High,5,5,3,Excellent,0.48
Other,Male,Ambivert,Introvert,Low,Low,Low,3,9,6,Poor,0.63
Female,Male,Extrovert,Ambivert,High,High,Medium,1,3,0,Poor,0.08
Male,Male,Introvert,Introvert,High,Low,Low,3,3,8,Excellent,0.4
Female,Other,Extrovert,Extrovert,High,Low,High,3,6,2,Poor,0.36
Male,Female,Extrovert,Ambivert,Medium,Low,High,4,7,1,Good,0.52
Female,Female,Introvert,Extrovert,Medium,Medium,Low,9,6,2,Good,0.62
Male,Female,Extrovert,Introvert,Medium,Low,Low,2,8,2,Good,0.36
Female,Female,Extrovert,Extrovert,Medium,Medium,Low,9,7,1,Good,0.64
Male,Other,Extrovert,Introvert,High,High,High,0,8,5,Good,0.15
Female,Female,Extrovert,Ambivert,Medium,Medium,Medium,4,10,9,Excellent,0.88
Female,Male,Introvert,Extrovert,Low,High,High,6,4,5,Poor,0.33
Other,Female,Ambivert,Ambivert,Medium,Low,High,10,6,6,Poor,0.7
Male,Male,Extrovert,Introvert,Medium,Low,Low,10,0,10,Poor,0.55
Male,Female,Ambivert,Extrovert,Low,High,Medium,3,9,9,Poor,0.57
Male,Male,Introvert,Introvert,Low,Low,Medium,6,9,1,Poor,0.65
Male,Female,Introvert,Extrovert,Medium,Low,Medium,8,8,10,Good,0.82
Other,Female,Ambivert,Extrovert,Low,High,High,10,9,5,Excellent,0.83
Female,Other,Introvert,Ambivert,Medium,Low,Medium,0,2,7,Excellent,0.3
Male,Male,Ambivert,Extrovert,Low,Medium,Low,4,6,2,Excellent,0.45
Female,Male,Ambivert,Introvert,High,Medium,High,8,1,7,Poor,0.54
Male,Male,Introvert,Introvert,Low,High,High,4,6,7,Poor,0.44
Other,Male,Ambivert,Introvert,High,Medium,High,6,1,4,Excellent,0.47
Female,Male,Ambivert,Introvert,Medium,Medium,Low,1,0,0,Good,-0.02
Male,Other,Ambivert,Introvert,High,High,Low,0,6,9,Poor,0.34
Female,Female,Extrovert,Extrovert,Low,Medium,Medium,5,10,5,Good,0.62
Male,Female,Ambivert,Extrovert,Medium,Low,High,5,5,1,Excellent,0.52
Female,Other,Extrovert,Ambivert,High,High,Low,1,8,4,Poor,0.52
Male,Female,Extrovert,Ambivert,Low,Low,Medium,8,6,10,Excellent,0.77
Male,Other,Extrovert,Introvert,Low,Medium,High,5,10,7,Excellent,0.7
Other,Female,Extrovert,Ambivert,Low,High,Medium,6,7,10,Poor,0.73
Male,Other,Extrovert,Extrovert,Low,High,Low,2,8,9,Poor,0.84
Other,Male,Introvert,Extrovert,High,Medium,Low,8,7,2,Good,0.6
Male,Female,Ambivert,Ambivert,High,High,High,2,10,1,Excellent,0.48
Female,Other,Introvert,Introvert,Medium,Medium,Medium,3,4,10,Good,0.67
Other,Male,Ambivert,Introvert,Low,Low,Low,7,1,5,Excellent,0.46
Other,Other,Introvert,Ambivert,Medium,Medium,Low,6,10,10,Poor,0.84
Female,Male,Introvert,Extrovert,High,Medium,High,1,1,5,Poor,0.21
Other,Male,Ambivert,Introvert,Low,Medium,High,5,6,9,Poor,0.66
Male,Female,Introvert,Ambivert,Low,High,Medium,6,5,5,Poor,0.53
Male,Other,Ambivert,Ambivert,Low,High,High,6,0,8,Good,0.54
Female,Male,Extrovert,Introvert,Medium,Low,Medium,2,9,4,Excellent,0.51
Other,Other,Ambivert,Introvert,Low,Medium,Medium,8,1,4,Poor,0.51
Other,Female,Ambivert,Introvert,Medium,Medium,Low,6,0,5,Excellent,0.36
Other,Male,Ambivert,Introvert,Low,Low,High,2,7,6,Good,0.51
Other,Male,Introvert,Ambivert,Medium,Medium,Medium,10,7,5,Good,0.53
Female,Male,Ambivert,Ambivert,Medium,Medium,Low,3,8,6,Excellent,0.66
Male,Female,Ambivert,Introvert,Low,Medium,Medium,10,2,9,Excellent,0.73
Female,Other,Extrovert,Extrovert,High,High,High,3,10,0,Good,0.53
Other,Other,Introvert,Ambivert,High,Medium,Medium,10,2,0,Excellent,0.11
Female,Female,Introvert,Introvert,High,Low,Low,5,9,6,Excellent,0.88
Other,Other,Extrovert,Introvert,High,High,High,6,7,4,Poor,0.55
Other,Male,Ambivert,Ambivert,Medium,Low,Low,10,1,7,Poor,0.71
Female,Female,Ambivert,Ambivert,Medium,Medium,High,1,1,1,Excellent,-0.0
Female,Other,Ambivert,Ambivert,High,High,Low,9,9,7,Good,0.89
Other,Other,Introvert,Ambivert,High,Medium,Medium,10,6,4,Poor,0.56
Male,Male,Extrovert,Introvert,Low,Low,High,6,0,6,Poor,0.34
Other,Other,Extrovert,Introvert,Low,Low,Low,10,1,3,Poor,0.66
Male,Male,Ambivert,Ambivert,High,High,Low,7,5,1,Excellent,0.41
Male,Other,Introvert,Ambivert,High,High,Low,4,0,1,Excellent,0.19
Other,Female,Extrovert,Ambivert,High,Medium,Low,0,3,4,Excellent,0.32
Other,Female,Ambivert,Ambivert,Medium,High,Low,7,5,8,Good,0.72
Other,Other,Ambivert,Introvert,Low,High,Low,0,3,0,Excellent,0.12
Male,Female,Introvert,Introvert,Low,Low,High,9,5,4,Excellent,0.64
Other,Other,Extrovert,Introvert,Low,Medium,Medium,6,10,2,Good,0.84
Female,Male,Extrovert,Ambivert,Medium,Low,High,8,3,1,Poor,0.39
Other,Female,Ambivert,Ambivert,Low,High,Low,5,9,10,Poor,0.82
Other,Other,Introvert,Extrovert,High,Medium,Medium,6,0,9,Excellent,0.61
Male,Female,Introvert,Ambivert,High,Low,Low,6,1,5,Poor,0.51
Male,Female,Extrovert,Extrovert,High,High,Medium,0,1,6,Excellent,0.35
Female,Male,Introvert,Introvert,Low,Low,Medium,9,7,1,Poor,0.63
Female,Other,Ambivert,Extrovert,Low,Medium,Low,1,0,2,Good,-0.01
Female,Male,Extrovert,Ambivert,Low,Low,Low,9,6,7,Poor,0.9
Male,Female,Introvert,Ambivert,Low,Low,High,10,2,2,Good,0.35
Other,Other,Extrovert,Introvert,Low,Low,Medium,3,10,9,Good,0.76
Other,Female,Introvert,Extrovert,Medium,Medium,Low,4,4,6,Poor,0.39
Other,Male,Extrovert,Ambivert,High,Medium,Medium,5,1,10,Excellent,0.53
Male,Other,Introvert,Introvert,High,Low,High,1,4,8,Good,0.47
Male,Female,Ambivert,Ambivert,Low,High,Medium,7,8,10,Poor,0.87
Other,Other,Introvert,Extrovert,High,Low,High,0,6,8,Poor,0.51
Female,Male,Ambivert,Ambivert,Low,Low,Low,0,9,7,Excellent,0.69
Other,Other,Introvert,Introvert,High,Medium,High,8,5,0,Good,0.48
Female,Female,Introvert,Extrovert,High,Medium,Low,3,8,1,Good,0.38
Female,Female,Extrovert,Extrovert,High,High,Low,10,9,6,Excellent,0.93
Female,Other,Ambivert,Introvert,Medium,Low,Medium,0,5,0,Poor,0.29
Female,Female,Extrovert,Extrovert,High,High,Medium,2,6,5,Excellent,0.31
Male,Female,Extrovert,Introvert,High,Low,Low,2,6,1,Good,0.36
Male,Male,Ambivert,Extrovert,High,Medium,Medium,5,4,5,Good,0.54
Male,Other,Extrovert,Introvert,Medium,Low,Medium,2,2,5,Poor,0.27
Female,Male,Extrovert,Ambivert,High,High,High,4,0,2,Good,0.34
Female,Other,Extrovert,Introvert,High,Low,High,7,10,4,Excellent,0.68
Female,Female,Ambivert,Extrovert,Low,Low,High,5,6,8,Poor,0.65
Other,Female,Introvert,Introvert,High,High,High,2,5,8,Excellent,0.48
Other,Male,Introvert,Ambivert,Medium,Medium,Low,0,6,7,Good,0.43
Female,Female,Introvert,Extrovert,High,Low,High,8,2,3,Good,0.32
Male,Female,Ambivert,Introvert,Low,Medium,High,7,1,8,Poor,0.39
Male,Male,Ambivert,Ambivert,Low,High,High,1,2,6,Excellent,0.46
Female,Male,Introvert,Extrovert,High,Low,High,1,0,6,Good,0.15
Other,Female,Ambivert,Ambivert,High,High,Medium,6,7,0,Poor,0.33
Female,Other,Introvert,Extrovert,High,Medium,Medium,4,5,6,Excellent,0.28
